,Congress,ICPSR#,State#,HouseDist,State Name,Party,Name,Comm Number,1st Dim,2nd Dim,Log-Lik,TotalChoice,GeomMean,Pct Correct
27,112,20103,71,15,CALIFOR,100,HONDA,C00351379,-0.574,-0.489,-95.83532,828,0.891,0.954\
145,112,20129,13,2,NEW YOR,100,ISRAEL,C00358952,-0.348,-0.169,-127.38362,855,0.862,0.942\
163,112,20930,66,1,NEW MEX,100,HEINRICH,C00434563,-0.307,-0.064,-203.07135,838,0.785,0.915\
216,112,29375,13,3,NEW YOR,200,KING,C00272211,0.264,-0.179,-182.11769,849,0.807,0.920\
341,112,21139,52,1,MARYLAN,200,HARRIS,C00435974,0.519,-0.692,-269.30304,861,0.731,0.875\
57,112,29923,12,12,NEW JER,100,HOLT,C00313684,-0.498,-0.308,-103.89322,861,0.886,0.962\
378,112,15014,22,5,INDIANA,200,BURTON,C00145862,0.58,-0.071,-135.67366,814,0.846,0.939\
111,112,15612,13,18,NEW YOR,100,LOWEY,C00219881,-0.418,-0.278,-123.66145,856,0.865,0.923\
340,112,15092,47,6,NORTH C,200,COBLE,C00198796,0.518,-0.132,-196.24158,806,0.784,0.897\
178,112,20944,72,5,OREGON,100,SCHRADER,C00446906,-0.242,0.109,-381.90768,825,0.629,0.784\
179,112,20326,51,6,KENTUCK,100,CHANDLER,C00393512,-0.238,0.462,-292.22736,847,0.708,0.826\
346,112,20963,71,52,CALIFOR,200,HUNTER,C00433524,0.528,0.083,-118.75345,858,0.871,0.942\
45,112,21145,23,13,MICHIGA,100,CLARKE,C00477828,-0.525,-0.317,-102.43915,857,0.887,0.949\
117,112,20136,5,2,RHODE I,100,LANGEVIN,C00344697,-0.4,0.137,-111.9785,850,0.877,0.958\
2,112,10713,23,14,MICHIGA,100,CONYERS,C00409797,-0.717,-0.547,-141.4048,822,0.842,0.926\
119,112,14873,52,5,MARYLAN,100,HOYER,C00140715,-0.395,0.08,-125.19862,815,0.858,0.940\
33,112,29730,3,6,MASSACH,100,TIERNEY,C00318196,-0.554,-0.429,-99.27175,838,0.888,0.946\
